133,District Law Enforcement,"6,756.14"
134,Gang Investigation Division,"1,448.24"
135,Education & Training Division,"3,029.07"
136,VICE,"5,010.01"
140,Office of the First Deputy Superintendent,"8,616.94"
141,District Law Enforcement,"1,363.86"
142,District Law Enforcement,"7,799.90"
143,District Law Enforcement,"10,043.04"
,,
,OT REPORT - CITYWIDE BY UNIT 1/1/2017 - 12/31/2017,
March,"GRAND TOTAL: 11,937,636.01",
,,
145,District Law Enforcement,"109,746.83"
148,Traffic Court and Records Unit,"2,291.87"
153,Special Functions Support,"87,083.95"
161,General Support Division,"4,374.41"
163,Records Inquiry Section,"4,493.73"
166,District Law Enforcement,"29,760.01"
167,Evidence and Recovered Property Section,"1,987.55"
169,Police Documents Section,"6,675.98"
171,Central Detention Unit,"64,003.82"
172,District Law Enforcement,"3,231.48"
177,Forensic Services Division,"83,137.21"
180,Bureau Of Detectives - Administration,"50,020.14"
181,Detective Div. - Area 3,"89,143.10"
184,Special Investigations Unit,"6,076.77"
187,Central Homicide - Eval and Support Unit,"26,500.08"
188,Bureau of Organized Crime - Administration,825.07
189,Narcotics Division,"976,931.78"
191,Intelligence Division,"167,297.13"
192,Gang Team Area 3,"45,438.99"
193,Gang Investigation Division,"386,843.56"
195,Narcotics Division,"93,968.54"
196,Asset Forfeiture Section,"41,643.41"
211,District Law Enforcement,"165,660.56"
212,District Law Enforcement,"114,474.96"
213,District Law Enforcement,"157,063.77"
222,Timekeeping Unit - Headquarters,"3,485.09"
231,District Law Enforcement,437.60
241,District Law Enforcement,"12,357.04"
261,District Law Enforcement,"10,237.17"
277,Forensic Services Unit,"100,582.86"
311,District Law Enforcement,"102,785.69"
312,District Law Enforcement,"176,940.67"
313,Gang Team Area 3,"135,943.50"
341,Narcotics Division,"35,532.95"
353,Special Weapons & Tactical Unit,"199,119.49"
376,Gang Team Area 1,"56,472.45"
384,District Law Enforcement,"36,285.47"
441,Special Activities Section,"3,963.34"
442,District Law Enforcement,"68,034.65"
541,District Law Enforcement,"1,375.31"
542,Detached Services - Govt Security Detail,"65,534.68"
543,Narcotics Division,"22,453.52"
545,District Law Enforcement,"1,286.24"
602,District Law Enforcement,"7,707.70"
603,Bomb and Arson Division,"63,102.63"
604,Central Homicide - Eval and Support Unit,"70,840.66"
606,Central Homicide - Eval and Support Unit,"242,796.24"
608,District Law Enforcement,"58,152.50"
610,Detective Div. - Area 1,"727,317.66"
620,Detective Div. - Area 2,"529,345.42"
630,Detective Div. - Area 3,"652,714.71"
701,Public Transportation Section,"95,792.96"
702,CTA Security Unit,"2,733.26"
704,Transit Security Unit,"53,685.43"
711,Violence Reduction Unit - Central,121.23
,,
,OT REPORT - CITYWIDE BY UNIT 1/1/2017 - 12/31/2017,
April,"GRAND TOTAL: 11,715,142.09",
